objectid,abrevia,cod_linea,nom_ruta,orig_ruta,dest_ruta,dest_zona,fec_impl,loc_orig,loc_dest,long_ruta,oper_ruta,route_id,cod_ruta,zon_dest,zon_orig,hor_habil,hor_sab,hor_fest,est_ruta,tip_bus,campo,tip_operac,tip_serv,dias_oper,comp_sitp,tip_hor,tipo_oper,ruta_rural,globalid,horas_servicio,cluster_riesgo
2824,DDD,DK211,Gran Granada - Salitre El Greco,Salitre El Greco,Gran Granada,Engativa / Calle 80,18/07/2022,10,13,17.16506074,Este Es Mi Bus - Co,4167.0,D211-2,6.0,5,04:00-23:00,04:00-23:00,04:00-23:00,1,3.0,,2,3,3.0,,1,2,,{000B118D-B433-4B62-AA86-74F8CE254724},19.0,2
2825,GGG,GC509,Metrovivienda - Corpas,Corpas,Metrovivienda,Bosa,28/09/2020,7,11,27.90871061,Masivo Capital - Ke,3776.0,G509-2,3.0,9,04:00-23:00,04:00-23:00,04:00-23:00,1,3.0,,2,3,3.0,,1,2,,{00279D28-71A9-4309-8427-3FDB5F7B9AEF},19.0,2
2826,LLL,LG807,San Blas - Bosa Carbonell,Bosa Carbonell,San Blas,San Cristobal,4/09/2023,4,7,17.83481988,Consorcio Express D,3722.0,L807-1,9.0,13,03:00-22:00,03:00-22:00,03:00-22:00,1,4.0,,2,3,3.0,,1,2,,{008CEC66-A785-4154-BF28-8AED90636E2C},19.0,2
2827,SCR,614,Bolonia Usme - Montevideo,Montevideo,Bolonia Usme,San Cristobal,17/06/2024,5,9,27.40270511,Gmovil - E,3060.0,614-2,6.0,12,03:30 - 22:00 - 03:30 - 23:00,03:30 - 22:00 - 03:30 - 23:00,03:30 - 22:00 - 03:30 - 23:00,1,4.0,,2,3,3.0,,1,2,,{00FAEF23-9B6D-4C87-8AFC-8C8DE1A44018},18.5,2
2828,101,DL81,D81Cv,Portal 20 De Julio,Puente De Guadua,Calle 80,-,4,10,24.90402426,No Aplica,,D81CV,4.0,13,0,0,06:00 - 14:00,1,3.0,,1,2,4.0,,1,1,,{01148D54-BA95-447D-ABF9-5D9C78CE7196},0.0,3
2829,CCC,HD630,Arborizadora Alta -  Morato,Arborizadora Alta,Morato,Suba,17/04/2023,19,11,25.2572514,Odt La Rolita,4287.0,D630-1,3.0,11,03:00-21:00,03:00-21:00,03:00-21:00,1,4.0,,2,3,3.0,,1,2,,{01C76321-F0BF-419D-BD04-AC9F2B1188AD},18.0,2
2830,91,BG46,B46,San Mateo - Cc Unisur,Portal Norte,Usaquen,-,21,1,31.22707888,No Aplica,,B46,1.0,9,4:00-9:00/15:00-20:0,4:00-9:00/15:00-20:0,0,1,2.0,,1,1,2.0,,2,1,,{02DC0A27-BD75-4611-B2B3-30A8C9FA6AB1},10.0,2
2831,NOR,T11,Alpes - Calle 222,Alpes,Calle 222,Norte,22/11/2014,19,11,44.6967368,Masivo Capital So-Suma,4018.0,T11-1,2.0,11,03:56-23:00,03:56-23:00,03:56-23:00,1,3.0,,2,3,3.0,,1,2,,{03A71515-2CFA-43C2-9E55-A80DAB64B426},19.07,0
2832,AAA,GA516,Portal Sur - Chapinero,Portal Sur,Chapinero,Neutra,2/09/2024,8,13,19.72032227,ETIB Bo,,A516-1,0.0,9,04:00-23:00,04:00-23:00,04:00-23:00,1,4.0,,2,3,3.0,,1,2,,{03D77CEE-9FFA-4837-8AF9-6B37B82560EF},19.0,2
2833,AAA,HA618,Santo Domingo - Germania,Santo Domingo,Germania,Neutra,10/12/2022,19,3,19.42062678,Odt La Rolita,3698.0,A618-1,0.0,10,04:00-23:00,04:00-23:00,04:00-23:00,1,4.0,,2,3,3.0,,1,2,,{0467B1A8-B53F-41B0-A085-721E00C113E7},19.0,2
2834,BBB,HB907,Terminal Norte - Usme Centro,Usme Centro,Terminal Norte,Usaquen,12/04/2021,1,5,42.9088917,Consorcio Express N,3717.0,B907-2,12.0,1,03:30 - 21:00 - 03:00 - 21:00,03:30 - 21:00 - 03:00 - 21:00,03:30 - 21:00 - 03:00 - 21:00,1,3.0,,2,3,3.0,,1,2,,{04DA7ABB-9B01-4406-A310-7D90DCE4E09B},17.5,0
2835,ALI,1-8,Calle 80,Portal 80,Calle 80,Alimentadora,-,10,10,5.99250205,Este Es Mi Bus - Co,2991.0,1-8a,4.0,4,04:30:00 - 24:30:00,04:30:00 - 24:30:00,04:30:00 - 24:30:00,1,3.0,,2,4,3.0,,1,2,,{05F5BA89-93A7-41C1-8889-95987349ABB4},0.0,3
2836,68,BG12,G12Gs,Portal Norte,General Santander,Usme/ Ciudad Bolivar,-,1,15,22.24982201,No Aplica,,G12GS,10.0,1,05:00 - 07:00,0,0,1,2.0,,1,1,1.0,,3,1,,{06125234-061A-479C-BE79-D8A9188ABD1F},2.0,3
2837,ALI,3-10,Usme Centro,Portal Usme,Usme Centro,Alimentadora,-,5,5,19.29649208,E-Somos Alimentacion,3746.0,3-10a,12.0,12,04:00:00 - 24:30:00,04:00:00 - 24:30:00,04:00:00 - 24:30:00,1,3.0,,2,4,3.0,,1,2,,{06283CE4-553A-42DA-8658-07FEF05E5E0A},0.0,3
2838,BOS,580,Bosa San Jose - Est. Bicentenario,Est. Bicentenario,Bosa San Jose,Bosa,17/03/2025,7,17,,Etib - Bo,3166.0,580-2,13.0,9,04:00-23:00,04:00-23:00,04:00-23:00,1,3.0,,2,3,3.0,,1,2,,{063A8365-34CE-4684-9065-6A8929E5FD7E},19.0,1
2839,ALI,8-6,Timiza,Banderas,Timiza,Alimentadora,-,8,8,9.92350087,Masivo Capital - Ke,2931.0,8-6a,8.0,8,04:00:00 - 24:20:00,04:00:00 - 24:20:00,04:00:00 - 24:20:00,1,3.0,,2,4,3.0,,1,2,,{063AC933-0317-49BB-A03D-4F296208F28E},0.0,3
2840,CEN,579,El Recreo - Marly,El Recreo,Marly,Centro,11/05/2013,7,3,48.468669,Masivo Capital - Ke,4422.0,579-3,0.0,8,04:00-23:00,04:00-23:00,04:00-23:00,1,3.0,,2,3,3.0,,1,2,,{06C63E8C-4AD9-488C-AFEF-9369C7B812F3},19.0,0
2841,CEN,C80,Isla Del Sol - Las Aguas,Isla Del Sol,Las Aguas,Centro,19/12/2022,6,3,46.74661249,Etib - Bo,3396.0,C80-3,0.0,10,04:00-23:00,04:00-23:00,04:00-23:00,1,5.0,,2,3,3.0,,1,2,,{076AAF3B-34F6-47CB-89A8-6A9A087C76AC},19.0,0
2842,26,8,8 T,Terminal,Guatoque - Veraguas,Neutra,-,1,14,22.09768379,No Aplica,,8 T,0.0,1,04:30 - 23:00,04:30 - 23:00,04:30 - 22:00,1,1.0,,1,1,3.0,,1,1,,{078804E8-9E0F-4260-A8AB-5E0AD5896A08},18.5,2
2843,USM,953,Tierra Buena - La Fiscala Alta,Tierra Buena,La Fiscala Alta,Usme,1/04/2014,8,5,21.92120812,Masivo Capital - Ke,4314.0,953-1,12.0,8,03:30 - 23:00 - 04:00 - 23:00,03:30 - 23:00 - 04:00 - 23:00,03:30 - 23:00 - 04:00 - 23:00,1,4.0,,2,3,3.0,,1,2,,{07C79429-F48C-4802-82D7-8F6AEC243D5F},19.5,2
2844,KKK,KA305,El Recodo - Est. Calle 100,Est. Calle 100,El Recodo,Calle 26,10/07/2023,9,12,20.29372186,E-Somos Fontibon,3846.0,K305-2,0.0,6,04:00-00:00,04:00-00:00,-,1,3.0,,2,3,2.0,,1,2,,{08071004-85A8-41B4-8B93-D70F377F30E2},20.0,2
2845,AAA,HA702,El Uval - El Guavio,El Uval,El Guavio,Neutra,10/01/2023,5,3,25.28137824,Gran Americas Usme,3605.0,A702-1,0.0,12,03:30-22:30,03:30-22:30,03:30-22:30,1,3.0,,2,3,3.0,,1,2,,{08872929-6265-4A7E-8BA8-059F3B28124C},19.0,2
2846,ALI,11-8,La Gaitana,Portal Suba,La Gaitana,Alimentadora,23/07/2022,11,11,7.33017871,Este Es Mi Bus - Co,3942.0,11-8a,3.0,3,04:30:00 - 24:30:00,04:30:00 - 24:30:00,04:30:00 - 24:30:00,1,3.0,,2,4,3.0,,1,2,,{09731B3D-4823-460B-98CA-04222BC06384},0.0,3
2847,ALI,10-2,Bosa Centro,Portal Sur,Bosa Centro,Alimentadora,-,7,7,5.25120786,Etib - Bo,3248.0,10-2a,9.0,9,04:00:00 - 24:30:00,04:00:00 - 24:30:00,04:00:00 - 24:30:00,1,3.0,,2,4,3.0,,1,2,,{097CEC09-F312-4D83-A127-F453FF643B18},0.0,3
2848,USM,661,Terminal Norte - Peninsula,Terminal Norte,Peninsula,Usme,24/10/2022,1,18,41.48147813,Consorcio Express N,4262.0,661-1,12.0,1,04:35 - 23:35 - 03:00 - 22:00,04:35 - 23:35 - 03:00 - 22:00,04:35 - 23:35 - 03:00 - 22:00,1,4.0,,2,3,3.0,,1,2,,{0A573CA4-D1D3-4FF7-8F31-FE6A86FE201D},19.0,0
2849,HHH,HA605,Arborizadora Alta-Polo,Polo,Arborizadora Alta,Usme/ Ciudad Bolivar,18/10/2022,19,12,26.08221999,Suma - Bc,3538.0,H605-2,0.0,11,04:00-22:00,04:00-22:00,04:00-22:00,1,3.0,,2,3,3.0,,1,2,,{0A5D9FA2-70E3-4E5E-8EC7-D962043FA50A},18.0,2
2850,USM,SE14,Diana Turbay Cultivos - Engativa Centro,Engativa Centro,Diana Turbay Cultivos,Usme,10/03/2025,10,18,,Gmovil-Suma,3467.0,SE14-2,5.0,11,04:00-23:00,04:00-23:00,04:00-23:00,Operativa,3.0,,2,3,3.0,,1,2,,{0A6239F7-5F70-4098-9C92-DD75B2198AF8},19.0,1
2851,HHH,HK721,El Tuno - Terminal Salitre,Terminal Salitre,El Tuno,Usme/ Ciudad Bolivar,20/08/2022,9,5,23.03606219,Mueve Usme,4214.0,H721-2,12.0,6,03:30-23:00,03:30-23:00,03:30-23:00,1,4.0,,2,3,3.0,,1,2,,{0A92FF1E-3FD3-4F4D-8724-502A58D515F9},19.5,2
2852,AAA,KA332,El Recodo - La Porciuncula,El Recodo,La Porciuncula,Neutra,15/01/2023,9,2,21.79365781,ZMO Fontibon V,4065.0,A332-1,0.0,7,04:30-22:00,04:30-22:00,04:30-22:00,1,3.0,,2,3,3.0,,1,2,,{0AC2B6F9-5C1D-43A1-8BF7-A71A086E2C31},17.5,2
2853,ESP,18-7,Soratama,Soratama,Soratama,Especial,12/08/2024,1,1,7.43320569,Consorcio Express N,2882.0,18-7e,1.0,1,04:00-21:00,04:00-21:00,04:00-21:00,1,5.0,,2,6,3.0,,1,2,,{0B3CF584-44C9-4C11-B3E0-E9C238D5918C},17.0,1
2854,AAA,LA809,Santa Rita S.O. - Marly,Santa Rita S.O.,Marly,Neutra,6/09/2021,4,2,16.48900619,Consorcio Express D,3911.0,A809-1,0.0,13,04:00-21:00,04:00-21:00,04:00-21:00,1,4.0,,2,3,3.0,,1,2,,{0B3E73F9-C82E-46DD-9992-D4786A07AFC2},17.0,1
2855,KKK,BK904,La Estrellita - Salitre El Greco,La Estrellita,Salitre El Greco,Calle 26,8/08/2023,1,9,24.68650092,Consorcio Express N,3842.0,K904-1,6.0,1,04:00-22:00,04:00-22:00,04:00-22:00,1,5.0,,2,3,3.0,,1,2,,{0B5BB91A-3172-471C-8A5B-BBC68B587A13},18.0,2
2856,COM,17-3,Modelia,Av Rojas,Modelia,Complementaria,-,9,9,11.58853646,Gran Americas Fontibon I,,17-3c,6.0,6,04:30:00 - 24:20:00,04:30:00 - 24:20:00,04:30:00 - 24:20:00,1,3.0,,2,5,3.0,,1,2,,{0B647C72-54AC-414C-B555-956218B31378},0.0,3
2857,CCC,C110,Chorrillos - Portal De Suba,Portal De Suba,Chorrillos,Suba,28/06/2021,11,11,14.40458047,Este Es Mi Bus - Co,3777.0,C110-3,3.0,3,04:00-21:00,04:00-21:00,04:00-21:00,1,5.0,,2,3,3.0,,1,2,,{0B9539F6-D91A-4463-A949-AEC31AB05D2A},17.0,1
2858,FFF,FC404,Patio Bonito - Calle 170,Calle 170,Patio Bonito,Americas,20/11/2023,0,0,32.79532806,Masivo Capital - Ke,4321.0,F404-2,0.0,0,04:00-23:00,04:00-23:00,04:00-23:00,1,3.0,,2,3,3.0,,1,2,,{0C8EFA91-FAF5-41C8-99B1-C09598D9C1D9},19.0,0
2859,BBB,CB162,Nuevo Corinto - San Cristobal Norte,Nuevo Corinto,San Cristobal Norte,Usaquen,23/09/2024,11,1,18.59214095,Consorcio Express N,4292.0,B162-1,1.0,3,04:00-23:00,04:00-23:00,04:00-23:00,1,5.0,,2,3,3.0,,1,2,,{0D88D506-581E-4716-A109-B22AEE5F1B6E},19.0,2
2860,USA,T21,Clinica Corpas-Conejera - Canton Norte,Clinica Corpas-Conejera,Canton Norte,Usaquen,23/07/2022,11,1,47.91533063,Consorcio Express N,4181.0,T21-3,1.0,3,04:00-23:00,04:00-23:00,04:00-23:00,1,3.0,,2,3,3.0,,1,2,,{0DA5D480-C436-4E54-9B09-724006439070},19.0,0
2861,USM,271,Lomas - Gran Granada,Gran Granada,Lomas,Usme,15/07/2024,10,18,32.23369669,Este Es Mi Bus - Co,3055.0,271-2,12.0,5,03:00-23:00,03:00-23:00,03:00-23:00,1,3.0,,2,3,3.0,,1,2,,{0DB75BAA-CB3E-4865-B036-75AE81F22E18},20.0,0
2862,COM,19-11,Canodromo,Canodromo,Prado Veraniego,Complementaria,-,11,11,3.39943909,Masivo Capital - So,2861.0,19-11c,2.0,2,04:00-23:00,04:00-23:00,04:00-23:00,1,5.0,,2,5,3.0,,1,2,,{0E061EAF-7BEA-45DD-B1BA-F4B267897F5B},19.0,1
2863,LLL,HL602,Galicia - Los Laches,Galicia,Los Laches,San Cristobal,5/08/2024,19,4,26.70500562,Etib - Bo,4437.0,L602-1,13.0,10,04:00-23:00,04:00-23:00,04:00-23:00,1,4.0,,2,3,3.0,,1,2,,{0E21D805-E424-4C04-8829-438395A866E7},19.0,2
2864,ALI,11-5,Avenida Cali,Portal Suba,Avenida Cali,Alimentadora,-,11,11,5.54181518,Este Es Mi Bus - Co,2893.0,11-5a,3.0,3,04:30:00 - 24:30:00,04:30:00 - 24:30:00,04:30:00 - 24:30:00,1,3.0,,2,4,3.0,,1,2,,{0E253C91-775D-484D-BBE5-9FD3D29CA5A8},0.0,3
2865,HHH,HA706,El Uval - San Diego,San Diego,El Uval,Usme/ Ciudad Bolivar,16/01/2021,5,3,23.27676767,Gran Americas Usme,3614.0,H706-2,0.0,12,04:00-00:00,04:00-00:00,04:00-00:00,1,3.0,,2,3,3.0,,1,2,,{0E29D1AB-EEA3-4A0F-942B-1ADEDDBA0055},20.0,2
2866,HHH,HH622,Fiscala Alta - Sevillana,Sevillana,Fiscala Alta,Usme/ Ciudad Bolivar,4/03/2024,5,6,11.62920614,Etib - Bo,4484.0,H622-2,10.0,12,04:30 - 23:00,04:30 - 23:00,04:30 - 23:00,1,4.0,,2,3,3.0,,1,2,,{0E2FC516-6118-4345-875D-8C281ED4445D},18.5,1
2867,HHH,CH131,Bilbao - Diana Turbay,Bilbao,Diana Turbay,Usme/ Ciudad Bolivar,11/09/2023,11,18,34.43830688,Emasivo 10,4234.0,H131-1,12.0,3,03:30 - 21:00 - 04:30 - 22:00,03:30 - 21:00 - 04:30 - 22:00,03:30 - 21:00 - 04:30 - 22:00,1,3.0,,2,3,3.0,,1,2,,{0E473840-BAEE-4CE5-84AA-CA0F18F4479B},17.5,0
2868,AAA,CA134,Tibabuyes - Pq. Central Bavaria,Tibabuyes,Pq Central Bavaria,Neutra,23/07/2022,11,3,24.54616286,Emasivo 16,3907.0,A134-1,0.0,3,04:00 - 21:30 - 05:41 - 23:03,04:00 - 21:30 - 05:41 - 23:03,04:00 - 21:30 - 05:41 - 23:03,1,4.0,,2,3,3.0,,1,2,,{0E4F7EE4-AD0B-4559-93DC-7FCAEDF1C0BE},17.5,2
2869,KKK,KL329,Fontibon Brisas - San Martin De Loba,San Martin De Loba,Fontibon Brisas,Calle 26,15/01/2023,9,4,30.74819896,"ZMO Fontibon III
",4114.0,K329-2,13.0,6,03:30-23:30,03:30-23:30,03:30-23:30,1,4.0,,2,3,3.0,,1,2,,{0ED432E5-0ABD-49F3-979D-272C3216413F},20.0,2
2870,ALI,13-10,Villa Del Cerro,Portal 20 Julio,Villa Del Cerro,Alimentadora,-,4,4,8.18653085,Consorcio Express D,2838.0,13-10a,13.0,13,04:00:00 - 24:20:00,04:00:00 - 24:20:00,04:00:00 - 24:20:00,1,3.0,,2,4,3.0,,1,2,,{0EEE4868-A69E-4209-8B8A-F7C57931C4C8},0.0,3
2871,CCC,CA134,Tibabuyes - Pq. Central Bavaria,Pq Central Bavaria,Tibabuyes,Suba,23/07/2022,11,3,23.2254116,Emasivo 16,3908.0,C134-2,0.0,3,04:00 - 21:30 - 05:41 - 23:03,04:00 - 21:30 - 05:41 - 23:03,04:00 - 21:30 - 05:41 - 23:03,1,4.0,,2,3,3.0,,1,2,,{0FDA07C5-9B14-464C-95F1-70981AE0988F},17.5,2
2872,ALI,13-13,Resurreccion,Portal 20 Julio,Resurreccion,Alimentadora,-,4,18,8.32945438,Consorcio Express D,3173.0,13-13a,13.0,13,04:00:00 - 24:20:00,04:00:00 - 24:20:00,04:00:00 - 24:20:00,1,4.0,,2,4,3.0,,1,2,,{1018D8D4-BC84-4FA0-ADD8-9FCB4FC2D8DD},0.0,3
2873,KKK,DK206,Bachue - Gobernacion,Bachue,Gobernacion,Calle 26,20/11/2023,10,13,12.34138427,Este Es Mi Bus - Co,3658.0,K206-1,6.0,4,04:00-23:00,04:00-23:00,04:00-23:00,1,3.0,,2,3,3.0,,1,2,,{102249BD-F7F8-4126-89DE-1E148726C27F},19.0,1
2874,COM,18-3,Autonorte Est. Terminal - Germania,Autonorte Est. Terminal,Germania,Complementaria,-,1,3,47.07038431,Consorcio Express N,3185.0,18-3c,0.0,1,04:00-23:00,04:00-23:00,04:00-23:00,1,3.0,,2,5,3.0,,1,2,,{104249B4-6995-4825-BBCC-7D7F6E6736AB},19.0,0
2875,ALI,8-2,Kennedy Hospital,Banderas,Kennedy Hospital,Alimentadora,-,8,8,6.42248467,Masivo Capital - Ke,2851.0,8-2a,8.0,8,04:00:00 - 24:20:00,04:00:00 - 24:20:00,04:00:00 - 24:20:00,1,3.0,,2,4,3.0,,1,2,,{10B63EC0-8B08-4754-8A52-56B73B147661},0.0,3
2876,BOS,P7,Pinares - Porvenir,Pinares,Porvenir,Bosa,20/02/2023,4,8,26.6834003,Masivo Capital-Consorcio Express,4383.0,P7-1,8.0,13,04:00-23:00,04:00-23:00,04:00-23:00,1,3.0,,2,3,3.0,,1,2,,{10C80FD4-C798-4F18-8785-64B3DE63811E},19.0,2
2877,H,HL613,Perdomo - Horacio Orjuela,Horacio Orjuela,Perdomo,Usme/ Ciudad Bolivar,26/11/2022,19,4,19.42754698,Odt La Rolita,0.0,H613-1,13.0,10,0,0,0,1,4.0,,2,3,3.0,,1,2,,{111C7AC9-3C42-4064-ACB1-BA98146B1D72},0.0,3
2878,FFF,FF424,Favidi P.M.,Banderas,Favidi,Americas,22/08/2023,8,8,9.73132074,Este Es Mi Bus - Tz,4256.0,FF424-3,8.0,8,04:30:00 - 09:00:00  16:00:00 - 21:00:00,04:30:00 - 09:00:00  16:00:00 - 21:00:00,04:30:00 - 09:00:00  16:00:00 - 21:00:00,1,3.0,,2,3,3.0,,4,2,,{116E861E-2465-4D04-AE1D-CA713CD46315},0.0,3
2879,FFF,KF333,Est. Av Rojas - Ciudad Alsacia,Est. Av Rojas,Ciudad Alsacia,Americas,8/04/2024,9,8,6.01144931,Gran Americas Fontibon I,4058.0,F333-1,7.0,6,05:00:00 - 21:00:00,05:00:00 - 21:00:00,05:00:00 - 21:00:00,1,4.0,,2,3,3.0,,1,2,,{11EDD400-A53C-492C-8FDD-0B8892FF05BA},0.0,3
2880,AAA,CA129,Bilbao - Germania,Bilbao,Germania,Neutra,29/01/2024,11,3,26.41972368,Emasivo 10,3825.0,A129-1,0.0,3,04:30-22:00,04:30-22:00,04:30-22:00,1,3.0,,2,3,3.0,,1,2,,{1236B4B7-61F3-4C76-96F5-B806DE9B5029},17.5,2
2881,ALI,3-4,Alfonso Lopez,Portal Usme,Alfonso Lopez,Alimentadora,-,5,5,15.42533187,E-Somos Alimentacion,3744.0,3-4a,12.0,12,04:00:00 - 24:30:00,04:00:00 - 24:30:00,04:00:00 - 24:30:00,1,3.0,,2,4,3.0,,1,2,,{12501FFE-6483-414B-929F-3096FDCD3C06},0.0,3
2882,CCC,CK102,Suba Fontanar - Salitre El Greco,Salitre El Greco,Suba Fontanar,Suba,8/08/2023,11,13,20.27429511,Este Es Mi Bus - C80,4454.0,C102-2,6.0,3,04:00-23:00,04:00-23:00,04:00-23:00,1,4.0,,2,3,3.0,,1,2,,{1260DAD2-503A-48D4-875B-D7E2A97B3DAC},19.0,2
2883,CCC,CF154,Suba Nogales - Puente Aranda,Puente Aranda,Suba Nogales,Suba,23/07/2022,11,16,19.22765831,Emasivo 16,3910.0,C154-2,7.0,3,04:00 - 20:00 - 05:37 - 21:09,04:00 - 20:00 - 05:37 - 21:09,04:00 - 20:00 - 05:37 - 21:09,1,3.0,,2,3,3.0,,1,2,,{127BDC3C-16DA-4D50-B66F-C6B002BC9562},16.0,2
2884,BOS,111,Metrovivienda - Gaviotas,Gaviotas,Metrovivienda,Bosa,26/08/2024,7,4,33.33638002,Consorcio Express D,3230.0,111-2,13.0,9,03:00-22:30,03:00-22:30,03:00-22:30,1,4.0,,2,3,3.0,,1,2,,{129B599A-AE34-450D-B052-97CA2B686DC3},19.5,0
2885,KKK,TC6,San Pablo Jerico,Portal El Dorado,San Pablo Jerico,Calle 26,1/05/2016,9,9,14.31630809,Gran Americas Fontibon I,3638.0,TC6-3,6.0,6,04:30:00 - 24:20:00,04:30:00 - 24:20:00,04:30:00 - 24:20:00,1,4.0,,2,3,3.0,,1,2,,{1343710E-D63A-4F98-B706-4E844A4DC994},0.0,3
2886,25,FJ23,F23B,Las Aguas - Centro Colom,Banderas,Americas,-,14,8,9.9342643,No Aplica,,F23B,8.0,0,6:15 - 08:00,0,0,1,2.0,,1,1,1.0,,3,1,,{135227F6-0C10-4636-B78F-10D727F3FAC5},1.75,3
2887,ALI,7-1,Uribe Uribe,Calle 40 Sur,Uribe Uribe,Alimentadora,-,18,18,5.21259541,E-Somos Alimentacion,2927.0,7-1-1a,12.0,12,04:10:00 - 10:00:00,04:10:00 - 10:00:00,04:10:00 - 10:00:00,1,4.0,,2,4,3.0,,3,2,,{13FE24DE-5C85-406B-B05E-7D13565CAE1D},0.0,3
2888,ALI,6-4,Paraiso,Portal Tunal,Paraiso,Alimentadora,-,6,0,14.11497278,Suma - Bc,4013.0,6-4a,11.0,11,04:00:00 - 24:30:00,04:00:00 - 24:30:00,04:00:00 - 24:30:00,1,3.0,,2,4,3.0,,1,2,,{146E58D7-A90E-467C-8441-0BD840F53C08},0.0,3
2889,KKK,KA319,Fontibon Brisas - Centro Andino,Centro Andino,Fontibon Brisas,Calle 26,23/09/2024,9,2,21.04712724,Mueve Fontibon,4045.0,K319-2,0.0,6,04:00-22:00,04:00-22:00,04:00-22:00,1,4.0,,2,3,3.0,,1,2,,{149DCE3C-1BE2-4BCE-8DFD-362B5B3562EB},18.0,2
2890,ENG,SE14,Diana Turbay Cultivos - Engativa Centro,Diana Turbay Cultivos,Engativa Centro,Engativa,10/03/2025,10,18,,Gmovil-Suma,2962.0,SE14-1,5.0,11,04:00-23:00,04:00-23:00,04:00-23:00,Operativa,3.0,,2,3,3.0,,1,2,,{14BFA42B-EFEC-42D1-A870-31E5F8BE31C9},19.0,1
2891,ALI,9-1,Casablanca,Portal Americas,Casablanca,Alimentadora,-,8,8,6.97137355,Masivo Capital - Ke,3222.0,9-1a,9.0,9,04:00:00 - 24:30:00,04:00:00 - 24:30:00,04:00:00 - 24:30:00,1,3.0,,2,4,3.0,,1,2,,{14DDDE12-3520-4B77-A8A8-1A6309D322F7},0.0,3
2892,COL,T62,Metrovivienda - Casablanca,Metrovivienda,Casablanca,Colina,20/08/2024,7,11,41.44318327,Masivo Capital - Ke,4461.0,T62-1,2.0,8,04:00-22:00,04:00-22:00,04:00-22:00,,4.0,,2,3,3.0,,1,2,,{15586CD0-3AAD-4B58-83D3-D78D4313FD32},18.0,0
2893,42,BL18,B18,Portal 20 De Julio,Terminal,Usaquen,-,4,1,25.62743286,No Aplica,,B18,1.0,13,04:30 - 22:00,04:30 - 21:30,0,1,2.0,,1,1,2.0,,1,1,,{15D83993-0941-4441-8893-F6D64FA32095},17.5,2
2894,USA,E26B,Corpas - Canton Norte,Corpas,Canton Norte,Usaquen,27/09/2021,11,1,20.088966,Consorcio Express N,3094.0,E26B-1,1.0,3,04:00-23:00,04:00-23:00,04:00-23:00,1,4.0,,2,3,3.0,,1,2,,{16211977-7080-4EA7-96BB-1543C757B396},19.0,2
2895,HHH,HA702,El Uval - El Guavio,El Guavio,El Uval,Usme/ Ciudad Bolivar,10/01/2023,5,3,24.78172193,Gran Americas Usme,3606.0,H702-2,0.0,12,03:30-22:30,03:30-22:30,03:30-22:30,1,3.0,,2,3,3.0,,1,2,,{165BD35F-C48F-42F2-B948-B2A3516AD49F},19.0,2
2896,HHH,HG712,Alfonso Lopez - Bosa La Estacion,Bosa La Estacion,Alfonso Lopez,Usme/ Ciudad Bolivar,21/06/2022,5,7,19.88704232,Gran Americas Usme,4144.0,H712-2,9.0,12,04:00-23:00,04:00-23:00,04:00-23:00,1,4.0,,2,3,3.0,,1,2,,{16BBF835-8942-45CC-971A-B6EDFB45A1D8},19.0,2
2897,KKK,CK122,Villa Cindy - Clinica Colombia,Villa Cindy,Clinica Colombia,Calle 26,31/07/2023,11,9,20.45499491,Este Es Mi Bus - Co,3853.0,K122-1,6.0,3,04:00-23:00,04:00-23:00,04:00-23:00,1,5.0,,2,3,3.0,,1,2,,{17216B93-19BE-4FC2-BB06-BA5FDBCF1F45},19.0,2
2898,83,EG42,G42,7 De Agosto,San Mateo - Cc Unisur,Soacha,-,12,21,19.48601428,No Aplica,10154.0,G42,9.0,0,"04:30 - 23:00
",05:00 - 23:00,05:00 - 22:00,1,2.0,,1,1,3.0,,1,1,,{1742D4FA-6974-4C66-BEB9-988D8FEC5C75},18.5,2
2900,HHH,HA633,Ricaurte - Acapulco,Acapulco,Ricaurte,Usme/ Ciudad Bolivar,5/11/2024,19,16,35.04126604,Suma - Bc,4143.0,HA633-3,7.0,11,04:00-19:30,04:00-19:30,04:00-19:30,1,5.0,,2,3,3.0,,1,2,,{17B0E086-B344-4BB2-8163-4051BDDFA6CE},15.5,0
2901,ALI,4-3,Molinos Ii,Molinos,Molinos Ii,Alimentadora,-,18,18,6.29519458,E-Somos Alimentacion,2961.0,4-3a,12.0,12,04:00:00 - 24:20:00,04:00:00 - 24:20:00,04:00:00 - 24:20:00,1,3.0,,2,4,3.0,,1,2,,{188241D5-3833-4C33-8534-CA97E33AF7B5},0.0,3
2902,SCR,SE6,La Roca - Villa Gladys,Villa Gladys,La Roca,San Cristobal,5/11/2024,4,10,28.60722939,Gmovil - E,3013.0,SE6-2,5.0,13,03:00-22:00,03:00-22:00,03:00-22:00,1,4.0,,2,3,3.0,,1,2,,{18CFFA35-1011-464B-AB7E-C37778618584},19.0,2
2903,8,4,4 P,Portal Sur - Jfk Coop. F,Héroes,Neutra,-,7,2,19.25706859,No Aplica,,4 P,0.0,9,04:00 - 23:00,04:00 - 23:00,04:00 - 22:00,1,1.0,,1,1,3.0,,1,1,,{19151303-5E93-4F7B-B021-28D778A738AD},19.0,2
