objectid,abrevia,cod_linea,nom_ruta,orig_ruta,dest_ruta,dest_zona,fec_impl,loc_orig,loc_dest,long_ruta,oper_ruta,route_id,cod_ruta,zon_dest,zon_orig,hor_habil,hor_sab,hor_fest,est_ruta,tip_bus,campo,tip_operac,tip_serv,dias_oper,comp_sitp,tip_hor,tipo_oper,ruta_rural,globalid,horas_servicio,cluster_riesgo
3504,ALI,11-10_p,Bilbao,Portal Suba,Bilbao,Alimentadora,-,11,11,8.5388794,Este Es Mi Bus - Co,4446.0,11-10a_p,3.0,3,04:30:00 - 20:30:00,04:30:00 - 20:30:00,04:30:00 - 20:30:00,1,3.0,,2,4,3.0,,2,2,,{D36E9341-C7FF-4FB9-BB81-A9227DE82A26},0.0,3
3505,SCR,T30B,Patio Bonito - Tihuaque,Patio Bonito,Tihuaque,San Cristobal,28/10/2024,5,8,26.35975438,Consorcio Express D,4312.0,T30B-1,8.0,13,03:00-22:00,03:00-22:00,03:00-22:00,1,4.0,,2,3,3.0,,1,2,,{D394AC1A-5D48-42C6-9A4A-0DB3A3948C1B},19.0,2
3506,ALI,9-2,Metrovivienda,Portal Americas,Metrovivienda,Alimentadora,-,8,7,12.05034626,Masivo Capital - Ke,4385.0,9-2a,9.0,9,04:00:00 - 20:30:00,04:00:00 - 20:30:00,04:00:00 - 20:30:00,1,3.0,,2,4,3.0,,1,2,,{D3AEE54E-3586-4621-ABF8-487280BFA238},0.0,3
3507,ALI,6-9,Arborizadora Alta,Portal Tunal,Arborizadora Alta,Alimentadora,-,6,19,11.14105692,Suma - Bc,3583.0,6-9a,11.0,11,04:00:00 - 24:30:00,04:00:00 - 24:30:00,04:00:00 - 24:30:00,1,3.0,,2,4,3.0,,1,2,,{D491B14F-E0F0-4199-84B2-5670D2C260DC},0.0,3
3508,KKK,HK721,El Tuno - Terminal Salitre,El Tuno,Terminal Salitre,Calle 26,20/08/2022,9,5,25.42924165,Mueve Usme,4213.0,K721-1,12.0,6,03:30-23:00,03:30-23:00,03:30-23:00,1,4.0,,2,3,3.0,,1,2,,{D563CED9-D700-4D56-AE2F-5B10CA1F5BF2},19.5,2
3509,ESP,18-14,Torca - Tibabita,Torca,Tibabita,Especial,30/03/2020,1,1,15.93222853,Consorcio Express N,3391.0,18-14e,1.0,1,04:30 - 08:00 / 13:00 - 19:00,04:30 - 08:00 / 13:00 - 19:00,04:30 - 08:00 / 13:00 - 19:00,1,5.0,,2,6,3.0,,1,2,,{D59C5444-B184-4178-99BB-2F770B9A344E},9.5,3
3510,CCC,CA151,Tibabuyes - Centro,Centro,Tibabuyes,Suba,23/07/2022,11,3,25.33600706,Emasivo 16,3885.0,C151-2,0.0,3,04:30-21:30,04:30-21:30,04:30-21:30,1,3.0,,2,3,3.0,,1,2,,{D5FA81F2-5ABC-4EF7-9FDC-F734C7F048C3},17.0,2
3511,ALI,1-1,Alamos,Portal Calle 80,Alamos,Alimentadora,-,10,10,5.26831227,Este Es Mi Bus - Co,2910.0,1-1a,5.0,4,04:30:00 - 24:30:00,04:30:00 - 24:30:00,04:30:00 - 24:30:00,1,3.0,,2,4,3.0,,1,2,,{D6D4BAC2-156F-4DE8-B263-DA03FEF4AAE8},0.0,3
3512,79,GK43,G43C,Cad,San Mateo - Cc Unisur,Soacha,-,16,21,15.03230665,No Aplica,,G43C,9.0,0,16:15 - 22:00,0,0,1,2.0,,1,1,1.0,,4,1,,{D7636303-F183-464D-B1A9-5B31376D9E29},5.75,3
3514,AAA,AA002,San Luis - Est. Movistar Arena,San Luis,Est. Movistar Arena,Neutra,5/09/2022,13,2,26.05896208,Consorcio Express N,4231.0,AA002-3,0.0,0,03:30-23:30,03:30-23:30,03:30-23:30,1,4.0,,2,3,3.0,,1,2,,{D85639B2-0669-4B8A-BA57-AE84BD977AFB},20.0,2
3515,KKK,KC323,El Recodo - Suba Compartir,Suba Compartir,El Recodo,Calle 26,11/07/2022,9,11,26.6687196,Mueve Fontibon,4164.0,K323-2,3.0,6,03:30-23:00,03:30-23:00,03:30-23:00,1,4.0,,2,3,3.0,,1,2,,{D8BDCAF0-1AB0-4AAA-BFF7-62E21A295084},19.5,2
3516,ALI,3-2,Santa Librada,Portal Usme,Santa Librada,Alimentadora,-,5,5,7.48403043,E-Somos Alimentacion,2847.0,3-2a,12.0,12,04:00:00 - 24:30:00,04:00:00 - 24:30:00,04:00:00 - 24:30:00,1,3.0,,2,4,3.0,,1,2,,{D8E45436-DDEA-44FE-BF77-35BFDF5E677B},0.0,3
3517,ALI,6-2,San Francisco,Portal Tunal,San Francisco,Alimentadora,-,6,19,5.17615025,Suma - Bc,3945.0,6-2a,11.0,11,04:00:00 - 24:30:00,04:00:00 - 24:30:00,04:00:00 - 24:30:00,1,3.0,,2,4,3.0,,1,2,,{D96042FE-435C-41AC-86AE-A1E6295A9EF6},0.0,3
3518,KKK,KH322,Fontibon Brisas - Cerros De Oriente,Cerros De Oriente,Fontibon Brisas,Calle 26,10/03/2025,18,9,,Mueve Fontibon,4050.0,K322-1,6.0,12,03:30-22:00,03:30-22:00,03:30-22:00,1,3.0,,2,3,3.0,,1,2,,{D998EAC7-A6C3-432C-BFC3-EC0E308B8D14},18.5,1
3519,HHH,HA611,Est. Calle 100 - Santo Domingo,Est. Calle 100,Santo Domingo,Usme/ Ciudad Bolivar,19/12/2020,19,2,25.63288939,Etib - Bo,3781.0,H611-2,1.0,11,03:30-23:00,03:30-23:00,03:30-23:00,1,4.0,,2,3,3.0,,1,2,,{D9CD8A78-A48D-40C7-8F27-8647E5600E63},19.5,2
3520,GGG,GA507,Chapinero - Metrovivienda,Chapinero,Metrovivienda,Bosa,10/03/2025,7,2,,Masivo Capital - Ke,4401.0,G507-2,0.0,8,04:00-23:00,04:00-23:00,04:00-23:00,1,3.0,,2,3,3.0,,1,2,,{D9F9F41D-5533-4577-9119-3D2A2F4A9CD7},19.0,1
3521,AAA,HA708,Antonio J. De Sucre - Chico Norte,Antonio J. De Sucre,Chico Norte,Neutra,26/07/2021,5,2,28.69880325,Gran Americas Usme,3810.0,A708-2,0.0,12,03:30-22:30,03:30-22:30,03:30-22:30,1,3.0,,2,3,3.0,,1,2,,{DA8A2CC3-44C5-4257-A9AE-07359CFE6396},19.0,2
3522,BOS,786,Metrovivienda - Diana Turbay-Puentes,Metrovivienda,Diana Turbay-Puentes,Bosa,2/11/2013,4,7,24.45606775,Consorcio Express D,4431.0,786-2,9.0,13,03:00-22:00,03:00-22:00,03:00-22:00,1,3.0,,2,3,3.0,,1,2,,{DB1C1F0A-8C72-4ADB-94A7-97A3F221BB86},19.0,2
3523,ESP,18-11_AM,Unicerros AM,Unicerros,Unicerros,Especial,23/09/2024,1,1,7.12495927,Consorcio Express N,4503.0,18-11e AM,1.0,1,04:30:00 - 11:30:00,04:30:00 - 11:30:00,04:30:00 - 11:30:00,1,5.0,,2,6,3.0,,3,2,,{DB1E623C-0C82-45D4-8D91-D0D50896B2C8},0.0,3
3524,47,J70,J70,Portal Norte,Las Aguas - Centro Colom,Neutra,-,1,3,21.81573468,No Aplica,,J70,0.0,1,05:30 - 09:00,0,0,1,1.0,,1,1,1.0,,3,1,,{DB6FCC88-F9B6-4E71-9F75-D2775CB6791F},3.5,3
3525,CCC,BC917,Villa Cindy - Terminal Norte,Terminal Norte,Villa Cindy,Suba,23/07/2022,11,11,18.59246218,Consorcio Express N,4177.0,C917-2,2.0,3,03:45-20:00,03:45-20:00,03:45-20:00,1,4.0,,2,3,3.0,,1,2,,{DBB9C54B-FAB7-4D51-AD8B-6A662E073B5D},16.25,2
3526,HHH,DH209,Villa Teresita - Galicia,Villa Teresita,Galicia,Usme/ Ciudad Bolivar,16/05/2022,10,19,23.77085246,Gmovil - E,4137.0,H209-2,5.0,10,04:00-22:00,04:00-22:00,04:00-22:00,1,4.0,,2,3,3.0,,1,2,,{DC1690C8-38B8-437F-A562-73A023D03273},18.0,2
3527,AAA,GA537,Villa Del Rio - Palermo,Villa Del Rio,Palermo,Neutra,4/03/2024,8,13,17.28157562,Etib - Bo,4485.0,A537-1,0.0,9,04:30 - 23:00,04:30 - 23:00,04:30 - 23:00,1,4.0,,2,3,3.0,,1,2,,{DC45E243-FBF0-4FF8-AB6D-A7FE61EA7004},18.5,2
3528,AAA,KA305,El Recodo - Est. Calle 100,El Recodo,Est. Calle 100,Neutra,10/07/2023,9,12,20.21289556,E-Somos Fontibon,3592.0,A305-1,0.0,6,04:00-00:00,04:00-00:00,-,1,3.0,,2,3,2.0,,1,2,,{DC69BFB8-E7BE-4459-9493-FD9492D94324},20.0,2
3529,GGG,CG137,Suba Corpas - Metrovivienda,Suba Corpas,Metrovivienda,Bosa,07/04/025,11,7,37.78735507,Emasivo 16,4377.0,G137-1,8.0,3,03:30-21:00,03:30-21:00,03:30-21:00,1,3.0,,2,3,3.0,,1,2,,{DD5928F3-6A26-48EE-984B-C4AE90281374},17.5,0
3530,KKK,16-12,Belen - Portal El Dorado,Portal El Dorado,Belen - Portal El Dorado,Calle 26,-,9,9,13.26910486,Gran Americas Fontibon I,2985.0,16-12c,6.0,6,04:30:00 - 24:20:00,04:30:00 - 24:20:00,04:30:00 - 24:20:00,1,4.0,,2,3,3.0,,1,2,,{DD7A97B1-8AA2-44E7-A48E-149A67A04D01},0.0,3
3531,AAA,HA720,Ciudadela Usme - 7 De Agosto,Ciudadela Usme,7 De Agosto,Neutra,23/10/2023,5,12,27.59658107,Mueve Usme,4205.0,A720-1,0.0,12,03:30-22:00,03:30-22:00,03:30-22:00,1,3.0,,2,3,3.0,,1,2,,{DD872C1D-B8FA-4782-9BA2-BAD2952920B9},18.5,2
3532,ESP,18-9,Cerro Norte,Cerro Norte,Cerro Norte,Especial,-,1,1,5.30797142,Consorcio Express N,2881.0,18-9e,1.0,1,04:00-21:00,04:00-21:00,04:00-21:00,1,5.0,,2,6,3.0,,1,2,,{DDC768D0-D7C2-4F52-BC90-0DB8A4F70BA0},17.0,1
3533,LLL,LK803,Gaviotas - Terminal Salitre,Terminal Salitre,Gaviotas,San Cristobal,12/07/2021,4,9,20.43117267,Consorcio Express D,3214.0,L803-2,6.0,13,03:00-21:00,03:00-21:00,03:00-21:00,1,4.0,,2,3,3.0,,1,2,,{DDE956FD-3137-4B5B-AB33-A1ADF4F1B86D},18.0,2
3534,GGG,GA501,San Jose - Germania,Germania,San Jose,Bosa,5/11/2024,7,3,22.46068102,Etib - Bo,3390.0,G501-2,0.0,9,04:00-21:00,04:00-21:00,04:00-21:00,1,4.0,,2,3,3.0,,1,2,,{DE4423C3-7810-4934-ABF1-2D5A5C606C2F},17.0,2
3535,ALI,5-4,Florida,Granja,Florida,Alimentadora,-,10,10,7.01499201,Este Es Mi Bus - Co,4156.0,5-4a,5.0,4,04:30:00 - 24:20:00,04:30:00 - 24:20:00,04:30:00 - 24:20:00,1,3.0,,2,4,3.0,,1,2,,{DE5C94AA-A853-4F68-BDD2-F79D26A5AF53},0.0,3
3536,ALI,16-3,Av. Eldorado - Alamos,Portal El Dorado,Av. Eldorado - Alamos,Alimentadora,-,9,10,7.08255461,Gmovil - E,2916.0,16-3a,5.0,5,04:30:00 - 24:20:00,04:30:00 - 24:20:00,04:30:00 - 24:20:00,1,3.0,,2,4,3.0,,1,2,,{DE728152-6E05-4D19-986E-4C46416CC888},0.0,3
